[2022-08-14T10:41:19.860] [DEBUG] default - /list, request path: /list
[2022-08-14T10:44:57.865] [DEBUG] default - /list, request path: /list
[2022-08-14T10:50:06.473] [DEBUG] default - /list, request path: /list
[2022-08-14T10:53:16.379] [DEBUG] default - /list, request path: /list
[2022-08-14T10:53:24.343] [DEBUG] default - /list, request path: /list
[2022-08-14T10:56:39.297] [DEBUG] default - /download, request path: /download/device
[2022-08-14T11:00:56.088] [DEBUG] default - /download, request path: /download/device
[2022-08-14T11:01:13.956] [DEBUG] default - /download, request path: /download/device
[2022-08-14T11:01:59.576] [DEBUG] default - /download, request path: /download/device
[2022-08-14T11:03:10.591] [DEBUG] default - /download, request path: /download/device
[2022-08-14T11:05:26.724] [DEBUG] default - /download, request path: /download/device
[2022-08-14T11:06:22.243] [DEBUG] default - /download, request path: /download/device
[2022-08-14T11:06:33.042] [DEBUG] default - /download, request path: /download/device
[2022-08-14T11:06:57.041] [DEBUG] default - /download, request path: /download/device
[2022-08-14T11:08:07.504] [DEBUG] default - /download, request path: /download/device
[2022-08-14T11:47:50.274] [DEBUG] default - /download, request path: /download/device
[2022-08-14T11:48:16.246] [DEBUG] default - /download, request path: /download/sdk
